Name,Year,Genre,Publisher,Sales North America,Sales Europe,Sales Japan,Sales other regions,Sales worldwide,Platform,Console Developer
Super Smash Bros. Brawl,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,Nintendo Wii,Nintendo
Call of Duty: Black Ops,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,PlayStation 3,Sony
Animal Crossing: Wild World,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,Nintendo DS,Nintendo
Mario Kart 7,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,Nintendo 3DS,Nintendo
Halo 3,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,Xbox 360,Microsoft
Grand Theft Auto V,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,PlayStation 4,Sony
Pokemon HeartGold/Pokemon SoulSilver,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,Nintendo DS,Nintendo
Super Mario 64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,Nintendo 64,Nintendo
Gran Turismo 4,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,PlayStation 2,Sony
Super Mario Galaxy,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,Nintendo Wii,Nintendo
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,Nintendo 3DS,Nintendo
Super Mario Land 2: 6 Golden Coins,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,Game Boy,Nintendo
Grand Theft Auto IV,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,Xbox 360,Microsoft
Gran Turismo,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,PlayStation,Sony
Super Mario 3D Land,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,Nintendo 3DS,Nintendo
Gran Turismo 5,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,PlayStation 3,Sony
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,PlayStation 3,Sony
Grand Theft Auto IV,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,PlayStation 3,Sony
Super Mario All-Stars,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,Super Nintendo Entertainment System,Nintendo
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,Game Boy Advance,Nintendo
Super Mario 64,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,Nintendo DS,Nintendo
Just Dance 3,2011,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,Nintendo Wii,Nintendo
Call of Duty: Ghosts,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,Xbox 360,Microsoft
Halo: Reach,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,Xbox 360,Microsoft
Mario Kart 64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,Nintendo 64,Nintendo
New Super Mario Bros. 2,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,Nintendo 3DS,Nintendo
Halo 4,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,Xbox 360,Microsoft
Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,PlayStation,Sony
Call of Duty: Ghosts,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,PlayStation 3,Sony
Just Dance 2,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,Nintendo Wii,Nintendo
Gran Turismo 2,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,PlayStation,Sony
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,Xbox 360,Microsoft
Donkey Kong Country,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,Super Nintendo Entertainment System,Nintendo
Minecraft,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,Xbox 360,Microsoft
Animal Crossing: New Leaf,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,Nintendo 3DS,Nintendo
Mario Party DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,Nintendo DS,Nintendo
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,Xbox 360,Microsoft
Super Mario Kart,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,Super Nintendo Entertainment System,Nintendo
FIFA 16,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,PlayStation 4,Sony
Wii Party,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,Nintendo Wii,Nintendo
Halo 2,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,Xbox,Microsoft
Mario Party 8,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,Nintendo Wii,Nintendo
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,Nintendo DS,Nintendo
FIFA Soccer 13,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,PlayStation 3,Sony
The Sims 3,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,Personal Computer,Various
GoldenEye 007,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,Nintendo 64,Nintendo
Mario & Sonic at the Olympic Games,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,Nintendo Wii,Nintendo
Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,PlayStation 2,Sony
Final Fantasy VIII,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,PlayStation,Sony
Pokémon Platinum Version,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,Nintendo DS,Nintendo
Pac-Man,1982,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,Atari 2600,Atari
Grand Theft Auto: Liberty City Stories,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,PlayStation Portable,Sony
Super Mario Galaxy 2,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,Nintendo Wii,Nintendo
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,PlayStation 4,Sony
Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,PlayStation 4,Sony
The Legend of Zelda: Ocarina of Time,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,Nintendo 64,Nintendo
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,PlayStation,Sony
Super Mario Bros. 2,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,Nintendo Entertainment System,Nintendo
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,Nintendo 3DS,Nintendo
Call of Duty: World at War,2008,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,Xbox 360,Microsoft
Battlefield 3,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,Xbox 360,Microsoft
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,Nintendo Wii,Nintendo
Call of Duty: Black Ops 3,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,Xbox One,Microsoft
Just Dance,2009,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,Nintendo Wii,Nintendo
Battlefield 3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,PlayStation 3,Sony
Need for Speed Underground,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,PlayStation 2,Sony
Tekken 3,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,PlayStation,Sony
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,PlayStation,Sony
Super Smash Bros. Melee,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,GameCube,Nintendo
Mario Kart 8,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,Nintendo Wii U,Nintendo
Fallout 4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,PlayStation 4,Sony
Mario Kart: Double Dash!!,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,GameCube,Nintendo
Just Dance 4,2012,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,Nintendo Wii,Nintendo
FIFA 14,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,PlayStation 3,Sony
Need for Speed Underground 2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,PlayStation 2,Sony
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,PlayStation 2,Sony
Uncharted 3: Drake's Deception,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,PlayStation 3,Sony
Crash Bandicoot,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,PlayStation,Sony
Zumba Fitness,2010,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,Nintendo Wii,Nintendo
Gears of War 2,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,Xbox 360,Microsoft
Uncharted 2: Among Thieves,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,PlayStation 3,Sony
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,PlayStation 3,Sony
FIFA 12,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,PlayStation 3,Sony
Big Brain Academy,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,Nintendo DS,Nintendo
Red Dead Redemption,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,PlayStation 3,Sony
FIFA 15,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,PlayStation 4,Sony
Donkey Kong Country Returns,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,Nintendo Wii,Nintendo
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,PlayStation 3,Sony
The Legend of Zelda,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,Nintendo Entertainment System,Nintendo
Assassin's Creed III,2012,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,PlayStation 3,Sony
Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,Xbox,Microsoft
Pokémon Emerald Version,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,Game Boy Advance,Nintendo
Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,PlayStation 2,Sony
Pokémon Crystal Version,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,Game Boy,Nintendo
Halo 3: ODST,2009,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,Xbox 360,Microsoft
Red Dead Redemption,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,Xbox 360,Microsoft
Super Mario Sunshine,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,GameCube,Nintendo
Street Fighter II: The World Warrior,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,Super Nintendo Entertainment System,Nintendo
World of Warcraft,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,Personal Computer,Various
Driver,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,PlayStation,Sony
Kinect Sports,2010,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,Xbox 360,Microsoft
Gears of War 3,2011,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,Xbox 360,Microsoft
Gears of War,2006,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,Xbox 360,Microsoft
Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,PlayStation 2,Sony
Sonic the Hedgehog 2,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03,Genesis (Mega Drive),Sega
Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,PlayStation 3,Sony
Metal Gear Solid,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,PlayStation,Sony
The Last of Us,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,PlayStation 3,Sony
Final Fantasy XII,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,PlayStation 2,Sony
LittleBigPlanet,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,PlayStation 3,Sony
Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,Nintendo DS,Nintendo
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,Nintendo Wii,Nintendo
Resident Evil 2,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,PlayStation,Sony
Tekken 2,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,PlayStation,Sony
Cooking Mama,2006,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,Nintendo DS,Nintendo
Destiny,2014,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,PlayStation 4,Sony
Tetris,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,Nintendo Entertainment System,Nintendo
Assassin's Creed II,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,PlayStation 3,Sony
Super Smash Bros.,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,Nintendo 64,Nintendo
Assassin's Creed,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,Xbox 360,Microsoft
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,PlayStation 3,Sony
Forza Motorsport 3,2009,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,Xbox 360,Microsoft
Monster Hunter Freedom Unite,2008,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,PlayStation Portable,Sony
Super Mario Advance,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,Game Boy Advance,Nintendo
Mario Kart: Super Circuit,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,Game Boy Advance,Nintendo
Super Mario World,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,Game Boy Advance,Nintendo
Pokemon Stadium,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,Nintendo 64,Nintendo
Call of Duty: World at War,2008,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,PlayStation 3,Sony
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,PlayStation 2,Sony
Minecraft,2014,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,PlayStation 3,Sony
Final Fantasy XIII,2009,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,PlayStation 3,Sony
Dr. Mario,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,Game Boy,Nintendo
Pokemon Pinball,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,Game Boy,Nintendo
Assassin's Creed III,2012,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,Xbox 360,Microsoft
Final Fantasy IX,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,PlayStation,Sony
Final Fantasy X-2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,PlayStation 2,Sony
Donkey Kong 64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,Nintendo 64,Nintendo
Assassin's Creed II,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,Xbox 360,Microsoft
Professor Layton and the Curious Village,2007,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,Nintendo DS,Nintendo
Tomb Raider II,1997,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,PlayStation,Sony
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,PlayStation 2,Sony
Diablo III,2012,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,Personal Computer,Various
Super Mario Bros. 3,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,Game Boy Advance,Nintendo
New Super Mario Bros. U,2012,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,Nintendo Wii U,Nintendo
Super Mario Land 3: Wario Land,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,Game Boy,Nintendo
FIFA Soccer 13,2012,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,Xbox 360,Microsoft
The Legend of Zelda: Phantom Hourglass,2007,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,Nintendo DS,Nintendo
Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,Super Nintendo Entertainment System,Nintendo
Tomodachi Life,2013,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,Nintendo 3DS,Nintendo
Mario & Sonic at the Olympic Games,2008,Sports,Sega,1.64,2.48,0.44,0.58,5.14,Nintendo DS,Nintendo
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,PlayStation 2,Sony
Kirby's Dream Land,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,Game Boy,Nintendo
Fable III,2010,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,Xbox 360,Microsoft
Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,Xbox One,Microsoft
Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,Personal Computer,Various
Guitar Hero II,2006,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,PlayStation 2,Sony
Resident Evil 5,2009,Action,Capcom,1.96,1.43,1.08,0.65,5.11,PlayStation 3,Sony
Grand Theft Auto V,2014,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,Xbox One,Microsoft
Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,PlayStation Portable,Sony
FIFA Soccer 11,2010,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,PlayStation 3,Sony
Super Mario Bros.,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,Game Boy,Nintendo
Resident Evil,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,PlayStation,Sony
Tony Hawk's Pro Skater,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,PlayStation,Sony
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,Nintendo Wii U,Nintendo
Warzone 2100,1999,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,PlayStation,Sony
Spyro the Dragon,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,PlayStation,Sony
Link's Crossbow Training,2007,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,Nintendo Wii,Nintendo
Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.49,0.01,0.01,1.48,4.98,PlayStation 2,Sony
Fallout 3,2008,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,Xbox 360,Microsoft
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96,Nintendo DS,Nintendo
Uncharted: Drake's Fortune,2007,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,PlayStation 3,Sony
Madden NFL 06,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,PlayStation 2,Sony
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,Nintendo DS,Nintendo
Diddy Kong Racing,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,Nintendo 64,Nintendo
Monster Hunter Freedom 3,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,PlayStation Portable,Sony
Dr. Mario,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,Nintendo Entertainment System,Nintendo
God of War III,2010,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,PlayStation 3,Sony
StarCraft II: Wings of Liberty,2010,Strategy,Activision,2.56,1.68,0.0,0.59,4.83,Personal Computer,Various
Assassin's Creed,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,PlayStation 3,Sony
FIFA 15,2014,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,PlayStation 3,Sony
Crash Team Racing,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,PlayStation,Sony
FIFA 17,2016,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,PlayStation 4,Sony
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,Xbox 360,Microsoft
Driver 2,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,PlayStation,Sony
The Simpsons: Hit & Run,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,PlayStation 2,Sony
Tony Hawk's Pro Skater 2,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,PlayStation,Sony
Animal Crossing: City Folk,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,Nintendo Wii,Nintendo
The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,PlayStation 2,Sony
Forza Motorsport 4,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,Xbox 360,Microsoft
Tomb Raider,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,PlayStation,Sony
Guitar Hero III: Legends of Rock,2007,Misc,Activision,3.06,1.12,0.0,0.44,4.62,Nintendo Wii,Nintendo
